S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
124,SIA/GJ/IND1/423060/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/123343/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/03/2023",M/s. Sunrise Stainless Pvt. Ltd.,GUJARAT,SUNRISE STAINLESS PRIVATE LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
125,SIA/GJ/IND1/422190/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122561/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/03/2023",M/s. A. B. Rolling Mills Pvt. Ltd. - Application for ToR for Existing Manufacturing unit of Steel Rolling Mill for regularization of the existing manufacturing activities,GUJARAT,A B ROLLING MILLS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
126,SIA/GJ/IND1/422181/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122549/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
16/03/2023",M/s. Raajratna Metal Industries Ltd. (Unit-II),GUJARAT,RAAJRATNA METAL INDUSTRIES LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
127,SIA/GJ/IND1/418680/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/119391/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/03/2023",Proposed Expansion of Pipes and Tubes Manufacturing Unit of M/s. Venus Pipes and Tubes Limited,GUJARAT,VENUS PIPES & TUBES LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
128,SIA/GJ/IND1/417865/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/118637/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/03/2023",RAMA CYLINDERS PVT LTD,GUJARAT,RAMA CYLINDERS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
129,SIA/GJ/IND1/420510/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/121067/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/03/2023",Akshar Rolling Mills LLP,GUJARAT,AKSHAR ROLLING MILLS LLP,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
130,SIA/GJ/IND1/406652/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107989/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/03/2023","Environment Clearance of Copper rod and Copper Wire Manufacturing Unit in Survey No 21, Village Asoj, Vadodara-Halol Highway, Taluka Waghodia, Vadodara, Gujarat, India.",GUJARAT,BIRLA COPPER ASOJ PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
131,SIA/GJ/IND1/419722/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/120386/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/02/2023",Maheshwar Steel & Metals (Unit 2),GUJARAT,MAHESHWAR STEEL & METALS,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
132,SIA/GJ/IND1/419671/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/120331/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/02/2023",Maheshwar Steel Rolling Mills (Unit 1),GUJARAT,MAHESHVAR STEEL ROLLING M ILL,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
133,SIA/GJ/IND1/412311/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/108344/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/02/2023",M/s. Delta Steel Re Rolling Millls,GUJARAT,DELTA STEEL RE ROLLING MILLS,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
134,SIA/GJ/IND1/412535/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/111649/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/02/2023",Ujaval Alloys,GUJARAT,UJAVAL ALLOYS,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
135,SIA/GJ/IND1/412761/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107795/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/02/2023",M/s. Radhe Industries,GUJARAT,RADHE INDUSTRIES,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
136,SIA/GJ/IND1/415342/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/116125/2023
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
21/02/2023",Ferrous Casting (Foundry & Machining) Unit with 45000 MTA capacity,GUJARAT,MUNJAL KIRIU INDUSTRIES PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
137,SIA/GJ/IND1/418421/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/119009/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
15/02/2023",Sun Mark Stainless Pvt. Ltd.,GUJARAT,SUN MARK STAINLESS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
138,SIA/GJ/IND1/417417/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/104056/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/02/2023",Rashtriya Metal Industries Limited,GUJARAT,RASHTRIYA METAL INDUSTRIES LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
139,SIA/GJ/IND1/415999/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/116896/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/01/2023",Akshar Ispat Limited,GUJARAT,AKSHAR ISPAT LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
140,SIA/GJ/IND1/412710/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/113534/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/01/2023",M/s. Shakti Metals,GUJARAT,SHAKTI METALS,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
141,SIA/GJ/IND1/412660/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/113491/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/01/2023",M/s. Pragati Steel Industries,GUJARAT,PRAGATI STEEL INDUSTRIES,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
142,SIA/GJ/IND1/412635/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/113304/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/01/2023",Iskcon Metal,GUJARAT,ISKCON METALS,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
143,SIA/GJ/IND1/412452/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/113293/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/01/2023",Sun Steel Rolling Mill,GUJARAT,SUN STEEL ROLLING MILL,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
144,SIA/GJ/IND1/412317/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/113098/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/01/2023",Ganesh Steel Re-Rolling Mills Pvt Ltd.,GUJARAT,GANESH STEEL RE-ROLLING MILLS PRIVATE LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
145,SIA/GJ/IND1/413994/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/114848/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/01/2023",Proposed expansion of Metallurgical Industry(ferrous) (TMT Steel Bars) by M/s. Ajay Steel,GUJARAT,AJAY STEEL,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
146,SIA/GJ/IND1/400931/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/101936/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/12/2022",M/s. Panchratan Steels Pvt. Ltd.,GUJARAT,M/S. PANCHRATAN STEELS PVT. LTD.,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
147,SIA/GJ/IND1/407593/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/108796/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/11/2022",M/s. Shree Shakti Metal Rolling Mill,GUJARAT,SHREE SHAKTI METAL ROLLING MILL,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
148,SIA/GJ/IND1/407758/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/108992/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/11/2022",M/s. Veer Metal Industries Pvt. Ltd. - Application for ToR for Existing Manufacturing unit of Steel Rolling Mill,GUJARAT,VEER METAL INDUSTRIES PRIVATE LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
149,SIA/GJ/IND1/406201/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107593/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/11/2022",Environment Clearance for Existing Steel Rolling Mill,GUJARAT,CHANDAN STEEL LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
150,SIA/GJ/IND1/406241/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107613/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/11/2022",SHREE BALRAM ROLLING MILLS PVT LTD,GUJARAT,SHREE BALRAM ROLLING MILLS PRIVATE LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
151,SIA/GJ/IND1/400743/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/102322/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/11/2022",M/s. Metronox Private Limited,GUJARAT,METRONOX PRIVATE LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
152,SIA/GJ/IND1/406034/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107441/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/11/2022",GANDHI SPECIAL TUBES LTD,GUJARAT,GANDHI SPECIAL TUBES LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
153,SIA/GJ/IND1/404882/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/106364/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/11/2022",Heavy Metal and Tubes (India) Pvt. Ltd.,GUJARAT,HEAVY METAL AND TUBES (INDIA) PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
154,SIA/GJ/IND1/403085/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/104730/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/10/2022",Environment Clearance for Existing Secondary Metallurgical Industry by M/s. Steelcast Limited,GUJARAT,STEELCAST LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
155,SIA/GJ/IND1/402503/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/104056/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/10/2022",Rashtriya Metal Industries Limited,GUJARAT,RASHTRIYA METAL INDUSTRIES LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
156,SIA/GJ/IND1/400288/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/101211/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/10/2022",Blue Star Industries,GUJARAT,CHANDRAKANT GADA,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
1,SIA/GJ/IND1/582072/2026,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/286726/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/06/2026","Transfer of Environmental Clearance granted to Sanghi Industries Limited for setting up of stand-alone Cement Grinding Unit at Survey No. 125/1, 125/2 and 126/1+2+3, Vill.: Shivrampur, Ta.: Choryasi, Dist.: Surat in favour of Ambuja Cements Ltd.",GUJARAT,Ambuja Cements Limited,SEIAA,Under Verification,GUJARAT,3(b) Cement plants
2,SIA/GJ/IND1/567405/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/234926/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/03/2026","Proposed Standalone Grinding Unit for Cement Production Capacity of 6.0 Million TPA (2 x 3 Million TPA)” within the port limit of Adani Hazira Port Limited (AHPL) at Village: Hazira Taluka: Chorasi, District: Surat, Gujarat by M/s. Ambuja Concrete North Private Limited.",GUJARAT,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
3,SIA/GJ/IND1/564059/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/271042/2026
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
23/01/2026","Proposed Standalone Grinding Unit with Cement Production Capacity of 5.0 Million TPA (2 x 2.5 Million TPA) at Mundra Industrial Area, Taluka: Mundra, District: Kachchh, Gujarat by M/s. Ambuja Concrete North Private Limited",GUJARAT,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
4,SIA/GJ/IND1/560615/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/114841/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
04/12/2025",Proposed expansion of Stand Alone Cement Manufacturing (Clinker Grinding) Unit from 1.5 MMTPA to 3.0 MMTPA by M/s. JK Lakshmi Cement Limited,GUJARAT,JK LAKSHMI CEMENT LTD,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
5,SIA/GJ/IND1/553806/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/261919/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/11/2025","Expansion of Cement Production Capacity (3.0 Million TPA to 6.5 Million TPA) of Existing Grinding unit by installation of New Line - II (3.5 Million TPA) at Village: Sangol, Post: Sonipur, District: Kheda (Gujarat) by M/s. UltraTech Cement Ltd. (Unit: Wanakbori Cement Works)",GUJARAT,UltraTech Cement Limited,SEIAA,ToR Granted,GUJARAT,3(b) Cement plants
6,SIA/GJ/IND1/555065/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/262933/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/11/2025",NILKANTH INDUSTRIES,GUJARAT,nilkanth industries,SEIAA,ADS Raised,GUJARAT,3(b) Cement plants
7,SIA/GJ/IND1/553300/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/259441/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/09/2025","Proposed Clinker Grinding Unit with Cement Production Capacity of 4.0 MTPA, DG Set 6.5 MW along with Railway Siding at Village: Tulsigam, Tehsil: Desar, District: Vadodara (Gujarat) by M/s. Wonder Cement Limited",GUJARAT,WONDER CEMENT LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
8,SIA/GJ/IND1/549551/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/258152/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/09/2025",M/s. Seen Industries,GUJARAT,shabirhusain fakirmamad manjothi,SEIAA,ToR Granted,GUJARAT,3(b) Cement plants
9,SIA/GJ/IND1/534476/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/244033/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/06/2025","Establishment of Standalone Grinding Unit for manufacturing of Cement at Village: Tulsigam, Tehsil: Desar, District- Vadodara, Gujarat by M/s Dalmia (Bharat) Green Vision Ltd.",GUJARAT,DALMIA BHARAT GREEN VISION LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 07/07/2026)",GUJARAT,3(b) Cement plants
10,SIA/GJ/IND1/532778/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/240804/2025
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
08/04/2025",AVI CEMENT LIMITED,GUJARAT,AVI CEMENT LIMITED,SEIAA,Proposal returned in present form,GUJARAT,3(b) Cement plants
11,SIA/GJ/IND1/528250/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/129659/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/03/2025",Expansion in existing cement (clinker and grinding) manufacturing unit of M/s. PMC CEMENT PVT. LTD.,GUJARAT,PMC CEMENT PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
12,SIA/GJ/IND1/516293/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/227865/2024
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
01/03/2025",Rikin Enterprise Private Limited,GUJARAT,RIKIN ENTERPRISE PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
13,SIA/GJ/IND1/523887/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/234926/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
28/02/2025","Proposed Standalone Grinding Unit for Cement Production Capacity of 6.0 Million TPA (2 x 3 Million TPA)” within the port limit of Adani Hazira Port Limited (AHPL) at Village: Hazira Taluka: Chorasi, District: Surat, Gujarat by M/s. Ambuja Concrete North Private Limited.",GUJARAT,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,ToR Granted,GUJARAT,3(b) Cement plants
14,SIA/GJ/IND1/516476/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/228047/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
04/01/2025","Proposed Standalone Grinding Unit with Cement Production Capacity of 5.0 Million TPA (2 x 2.5 Million TPA) at Mundra Industrial Area, Taluka: Mundra, District: Kachchh, Gujarat by M/s. Ambuja Concrete North Private Limited",GUJARAT,AMBUJA CONCRETE NORTH PRIVATE LIMITED,SEIAA,ToR Granted,GUJARAT,3(b) Cement plants
15,SIA/GJ/IND1/462747/2024,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/171889/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2024",Midland Concrete Pvt. Ltd.,GUJARAT,MIDLAND CONCRETE PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(b) Cement plants
